Omoteとは？,Omoteとはどんなサービスですか？,Omoteは美容と健康の女性スペシャリストとサービスを受けたい女性を繋ぐサービスプラットフォームです。 お手頃価格でエステ、マッサージ、ネイル、ヨガ、ピラティス、パーソナルトレーニング、骨盤矯正、ヘアカット、まつ毛エクステなどのサービスが出張で受けられます。
サービスについて,家に来てもらう場合は片付けておかないといけないですか？,サービスを受けられるスペースがあれば大丈夫です。お家に来てもらうメリットはパジャマのままでもサービスが受けられることですので、お気軽にご利用ください。
サービスについて,家が狭いのですが大丈夫でしょうか？,サービスを受けられるスペースが確保できれば問題ありません。必要なスペースはサービスによって異なりますが、今ご提供しているサービスの中では一番スペースを必要としているヨガで1名で受けて頂く場合、ヨガマット(65cm×170cm) ２枚分のスペースとお考えください。
サービスについて,自宅以外でも大丈夫でしょうか？,自宅以外でも大丈夫です。オフィスやマンションのレクリエーションルームやレンタルスペースなど施術が可能な場所であれば問題ありません。但し、場所代が発生する場合はご負担いただきます。
サービスについて,エリア外ですが来てもらうことはできますか？,基本的にはエリア内でのお申込みをお願いしていますが、エリア外でも施術可能な場合がありますので、お問い合わせよりご希望のサービス提供者についてお問い合わせください。
サービスについて,サービスを受けられる時間帯は決まっていますか？,特に決まりはなく、サービス提供者によって時間帯も異なります。対応できるサービス提供者がいる限りサービスの提供は可能です。
サービスについて,サービスを受けている途中で、子どもが泣いたり騒いだりしたらどうしたらいいでしょうか？,出張サービスを受けるメリットは施述中もお子様が慣れ親しんだ環境で過ごせることです。サービス提供者によっては次の予約などが入っている場合もありますが、できる限りお子様の様子を見ながらサービスをご提供させていただきます。
サービスについて,友達と２人以上で受けることはできますか？,受けて頂けます。メニューによっては人数によって金額が割引されますが、明記がない場合はグループになっても1人当たりの値段は変わりません。
サービスについて,出産前後でサービスを受けても大丈夫でしょうか？,ご希望のサービスによって異なりますので、お申込みの際に「自由記入欄」にその旨ご記入ください。
サービスについて,男性ですがOmoteを利用できますか？,ペアやグループで受けて頂く場合のみ、男性の方もご利用頂けます。但し、申込者は女性に限らせて頂きます。
会員登録について,会員登録後、認証メールが届きません,迷惑メールボックスをご確認ください。迷惑メールボックスにも届いていない場合は大変お手数ですがhello@omote.coまでご連絡ください。
Giver と Taker,Giverとはなんですか？,Omoteのサービスではサービス提供者のことをGiverと呼んでいます。
Giver と Taker,Takerとはなんですか？,Omoteのサービスではサービス利用者のことをTakerと呼んでいます。
料金について,交通費は別途かかりますか？,サービス価格に交通費も含まれております。そのため訪問範囲が限られている方もいらっしゃいますのでご注意ください。
料金について,出張料は別途かかりますか？,出張料はかかりません。
料金について,支払はどのようにしたらいいでしょうか？,予約承認後、予約時にご記入頂いたメールアドレスに請求書が届きます。支払いを確認させて頂いた後にサービスを提供させて頂きます。
料金について,支払はどのような方法がありますか？,現在はクレジットカードのみのお支払になります。他の方法をご希望の方hello@omote.coまでお問い合わせください。
予約お申込みから当日まで,当日は何時間ぐらいかかりますか？,目安としてサービス開始時間の10分程前にお伺いして準備をさせて頂き、サービス終了後も片付けや着替え等で10分程要しますので、メニューに記載のある所要時間に20分程加えた時間を目安としてお考えください。
予約お申込みから当日まで,当日は何か用意するものはありますか？,サービスによって異なりますので、予約お申し込み後にお伝えします。但し、基本的には一般のご家庭にあるもの以外はご準備頂くことはありません。
キャンセルについて,キャンセルはどのようにしたらよろしいでしょうか？,"会員登録をしている場合：①ログイン後、マイページより「予約・申し込み一覧」からキャンセルしたい予約のキャンセルボタンを押してください。もしくは、②予約時に届くメールの下部「ご予約のキャンセルはこちらから」からキャンセルして頂けます。
​会員登録をしていない場合：予約時に届くメールの下部「ご予約のキャンセルはこちらから」からキャンセルして頂けます。"
キャンセルについて,急なキャンセルはどのようにしたらいいでしょうか？,急なキャンセルはTeamOmote​（hello@omote.co)もしくは、03-3527-1836までご連絡ください。
キャンセルについて,キャンセル料金は発生しますか？,キャンセル料金はキャンセル受付日時によって異なりますので詳しくはキャンセレーションポリシーをご覧ください。
